title,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross
Freedom,2017,62.0,Biography,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2017,62.0,Crime,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freedom,2017,62.0,Documentary,69,"Jun 5, 2015","$14,500,000",0.0,872757.0
Freeheld,2015,103.0,Biography,51,"Oct 2, 2015","$7,000,000",546201.0,1732228.0
Freeheld,2015,103.0,Drama,51,"Oct 2, 2015","$7,000,000",546201.0,1732228.0
Freeheld,2015,103.0,Romance,51,"Oct 2, 2015","$7,000,000",546201.0,1732228.0
Freeway,2011,90.0,Drama,40,"Aug 23, 1996","$3,000,000",295493.0,295493.0
Frenzy,2015,90.0,Thriller,2,"Jun 21, 1972","$3,500,000",12600000.0,12600000.0
Frenzy,2015,119.0,Drama,2,"Jun 21, 1972","$3,500,000",12600000.0,12600000.0
Frequency,2012,60.0,Sci-Fi,31,"Apr 28, 2000","$31,000,000",44983704.0,68079671.0
Frequency,2012,60.0,Thriller,31,"Apr 28, 2000","$31,000,000",44983704.0,68079671.0
Friday,2012,117.0,Family,93,"Apr 26, 1995","$3,500,000",27467564.0,27936778.0
Friend Request,2013,91.0,Thriller,48,"Sep 22, 2017","$9,900,000",3759078.0,11310835.0
Friend Request,2016,92.0,Horror,48,"Sep 22, 2017","$9,900,000",3759078.0,11310835.0
Friend Request,2016,92.0,Thriller,48,"Sep 22, 2017","$9,900,000",3759078.0,11310835.0
Friend Request,2015,106.0,Horror,48,"Sep 22, 2017","$9,900,000",3759078.0,11310835.0
Friends with Benefits,2011,109.0,Comedy,55,"Jul 22, 2011","$35,000,000",55802754.0,146595891.0
Friends with Benefits,2011,109.0,Romance,55,"Jul 22, 2011","$35,000,000",55802754.0,146595891.0
Fright Night,2011,106.0,Comedy,58,"Aug 19, 2011","$30,000,000",18298649.0,40520649.0
Fright Night,2011,106.0,Horror,58,"Aug 19, 2011","$30,000,000",18298649.0,40520649.0
Frontera,2010,98.0,Action,63,"Sep 5, 2014","$2,300,000",59696.0,59696.0
Frontera,2010,98.0,Drama,63,"Sep 5, 2014","$2,300,000",59696.0,59696.0
Frontera,2010,98.0,Thriller,63,"Sep 5, 2014","$2,300,000",59696.0,59696.0
Frontera,2014,103.0,Drama,63,"Sep 5, 2014","$2,300,000",59696.0,59696.0
Frontera,2014,103.0,Thriller,63,"Sep 5, 2014","$2,300,000",59696.0,59696.0
Frontera,2014,103.0,Western,63,"Sep 5, 2014","$2,300,000",59696.0,59696.0
Frontera,2018,82.0,Crime,63,"Sep 5, 2014","$2,300,000",59696.0,59696.0
Frontera,2018,82.0,Drama,63,"Sep 5, 2014","$2,300,000",59696.0,59696.0
Frontera,2018,82.0,Family,63,"Sep 5, 2014","$2,300,000",59696.0,59696.0
Frozen,2010,93.0,Adventure,56,"Nov 22, 2013","$150,000,000",400738009.0,1272469910.0
Frozen,2010,93.0,Drama,56,"Nov 22, 2013","$150,000,000",400738009.0,1272469910.0
Frozen,2010,93.0,Sport,56,"Nov 22, 2013","$150,000,000",400738009.0,1272469910.0
Frozen,2010,92.0,Fantasy,56,"Nov 22, 2013","$150,000,000",400738009.0,1272469910.0
Frozen,2010,92.0,Romance,56,"Nov 22, 2013","$150,000,000",400738009.0,1272469910.0
Frozen,2013,102.0,Adventure,56,"Nov 22, 2013","$150,000,000",400738009.0,1272469910.0
Frozen,2013,102.0,Animation,56,"Nov 22, 2013","$150,000,000",400738009.0,1272469910.0
Frozen,2013,102.0,Comedy,56,"Nov 22, 2013","$150,000,000",400738009.0,1272469910.0
Fruitvale Station,2013,85.0,Biography,38,"Jul 12, 2013","$900,000",16098998.0,17549645.0
Fruitvale Station,2013,85.0,Drama,38,"Jul 12, 2013","$900,000",16098998.0,17549645.0
Fruitvale Station,2013,85.0,Romance,38,"Jul 12, 2013","$900,000",16098998.0,17549645.0
Fugly,2014,134.0,Drama,56,"Nov 7, 2014","$4,500,000",0.0,0.0
Fugly,2014,134.0,Thriller,56,"Nov 7, 2014","$4,500,000",0.0,0.0
Fun Size,2012,86.0,Adventure,10,"Oct 26, 2012","$14,000,000",9409538.0,11166615.0
Fun Size,2012,86.0,Comedy,10,"Oct 26, 2012","$14,000,000",9409538.0,11166615.0
Furious 7,2015,137.0,Action,67,"Apr 3, 2015","$190,000,000",353007020.0,1518722794.0
Furious 7,2015,137.0,Crime,67,"Apr 3, 2015","$190,000,000",353007020.0,1518722794.0
Furious 7,2015,137.0,Thriller,67,"Apr 3, 2015","$190,000,000",353007020.0,1518722794.0
Furry Vengeance,2010,92.0,Comedy,17,"Apr 30, 2010","$35,000,000",17630465.0,39340177.0
Furry Vengeance,2010,92.0,Family,17,"Apr 30, 2010","$35,000,000",17630465.0,39340177.0
Fury,2014,134.0,Action,68,"Oct 17, 2014","$80,000,000",85817906.0,210315681.0
